,feature,value,precision,recall,fbeta
0,workclass,State-gov,0.9478260869565217,0.9263456090651558,0.9369627507163324
1,workclass,Self-emp-not-inc,0.95355587808418,0.9074585635359116,0.9299363057324841
2,workclass,Private,0.948114190456345,0.9167842031029619,0.9321860274533906
3,workclass,Federal-gov,0.9618528610354223,0.9514824797843666,0.956639566395664
4,workclass,Local-gov,0.9476268412438625,0.9384116693679092,0.9429967426710097
5,workclass,?,0.9485714285714286,0.8691099476439791,0.9071038251366121
6,workclass,Self-emp-inc,0.9568,0.9614147909967846,0.9591018444266238
7,workclass,Without-pay,1.0,1.0,1.0
8,workclass,Never-worked,1.0,1.0,1.0
9,education,Bachelors,0.9426411738550466,0.9545249887438091,0.9485458612975392
10,education,HS-grad,0.9415584415584416,0.8656716417910447,0.9020217729393468
11,education,11th,1.0,0.85,0.9189189189189189
12,education,Masters,0.9595435684647303,0.9645464025026069,0.9620384815392616
13,education,9th,0.9583333333333334,0.8518518518518519,0.9019607843137256
14,education,Some-college,0.9484848484848485,0.9026676279740447,0.9250092353158478
15,education,Assoc-acdm,0.9461538461538461,0.9283018867924528,0.9371428571428572
16,education,Assoc-voc,0.9628482972136223,0.8614958448753463,0.9093567251461988
17,education,7th-8th,1.0,0.875,0.9333333333333333
18,education,Doctorate,0.9579288025889967,0.9673202614379085,0.9626016260162602
19,education,Prof-school,0.9696969696969697,0.983451536643026,0.976525821596244
20,education,5th-6th,1.0,0.8125,0.896551724137931
21,education,10th,0.9827586206896551,0.9193548387096774,0.95
22,education,1st-4th,1.0,1.0,1.0
23,education,Preschool,0.0,1.0,0.0
24,education,12th,1.0,0.8787878787878788,0.9354838709677419
25,marital-status,Never-married,0.9686800894854586,0.8818737270875764,0.9232409381663113
26,marital-status,Married-civ-spouse,0.9459829580036518,0.9290197250448297,0.9374246079613993
27,marital-status,Divorced,0.9782608695652174,0.8747300215982722,0.9236031927023945
28,marital-status,Married-spouse-absent,0.9655172413793104,0.8235294117647058,0.888888888888889
29,marital-status,Separated,1.0,0.8333333333333334,0.9090909090909091
30,marital-status,Married-AF-spouse,1.0,1.0,1.0
31,marital-status,Widowed,0.9761904761904762,0.9647058823529412,0.9704142011834319
32,occupation,Adm-clerical,0.9515789473684211,0.8915187376725838,0.9205702647657841
33,occupation,Exec-managerial,0.9553299492385787,0.9563008130081301,0.9558151345860842
34,occupation,Handlers-cleaners,0.9746835443037974,0.8953488372093024,0.9333333333333332
35,occupation,Prof-specialty,0.9588299024918743,0.9521247982786444,0.9554655870445342
36,occupation,Other-service,0.9833333333333333,0.8613138686131386,0.9182879377431906
37,occupation,Sales,0.9387966804979253,0.9206510681586979,0.9296353364149975
38,occupation,Craft-repair,0.9460093896713615,0.8675995694294941,0.9051094890510949
39,occupation,Transport-moving,0.9556313993174061,0.875,0.9135399673735726
40,occupation,Farming-fishing,0.9459459459459459,0.9130434782608695,0.9292035398230089
41,occupation,Machine-op-inspct,0.9406392694063926,0.824,0.8784648187633262
42,occupation,Tech-support,0.8976109215017065,0.9293286219081273,0.9131944444444444
43,occupation,?,0.9485714285714286,0.8691099476439791,0.9071038251366121
44,occupation,Protective-serv,0.9339622641509434,0.9383886255924171,0.9361702127659575
45,occupation,Armed-Forces,1.0,1.0,1.0
46,occupation,Priv-house-serv,1.0,1.0,1.0
47,relationship,Not-in-family,0.9730077120822622,0.8843457943925234,0.9265605875153
48,relationship,Husband,0.9456858026813338,0.9297059817505914,0.9376278118609407
49,relationship,Wife,0.948016415868673,0.9302013422818792,0.9390243902439024
50,relationship,Own-child,0.9818181818181818,0.8059701492537313,0.8852459016393442
51,relationship,Unmarried,0.9792746113989638,0.8669724770642202,0.9197080291970804
52,relationship,Other-relative,0.9722222222222222,0.9459459459459459,0.9589041095890412
53,race,White,0.9491623339110341,0.9234227905016158,0.9361156612776868
54,race,Black,0.9616438356164384,0.9069767441860465,0.9335106382978723
55,race,Asian-Pac-Islander,0.9583333333333334,0.9166666666666666,0.937037037037037
56,race,Amer-Indian-Eskimo,0.9411764705882353,0.8888888888888888,0.9142857142857143
57,race,Other,0.9166666666666666,0.88,0.8979591836734694
58,sex,Male,0.9480798771121351,0.9264485139597718,0.9371393865775888
59,sex,Female,0.96094459582198,0.897370653095844,0.9280701754385965
60,native-country,United-States,0.9504025301897643,0.9219076837261191,0.9359382742266582
61,native-country,Cuba,1.0,0.92,0.9583333333333334
62,native-country,Jamaica,0.9,0.9,0.9
63,native-country,India,0.9487179487179487,0.925,0.9367088607594937
64,native-country,?,0.9276315789473685,0.9657534246575342,0.9463087248322148
65,native-country,Mexico,0.967741935483871,0.9090909090909091,0.9374999999999999
66,native-country,South,0.875,0.875,0.875
67,native-country,Puerto-Rico,0.9230769230769231,1.0,0.9600000000000001
68,native-country,Honduras,1.0,1.0,1.0
69,native-country,England,0.875,0.9333333333333333,0.9032258064516129
70,native-country,Canada,0.9473684210526315,0.9230769230769231,0.935064935064935
71,native-country,Germany,0.9512195121951219,0.8863636363636364,0.9176470588235294
72,native-country,Iran,1.0,1.0,1.0
73,native-country,Philippines,0.9642857142857143,0.8852459016393442,0.923076923076923
74,native-country,Italy,0.95,0.76,0.8444444444444444
75,native-country,Poland,1.0,1.0,1.0
76,native-country,Columbia,1.0,1.0,1.0
77,native-country,Cambodia,1.0,0.8571428571428571,0.923076923076923
78,native-country,Thailand,1.0,1.0,1.0
79,native-country,Ecuador,1.0,1.0,1.0
80,native-country,Laos,0.6666666666666666,1.0,0.8
81,native-country,Taiwan,0.95,0.95,0.9500000000000001
82,native-country,Haiti,1.0,0.75,0.8571428571428571
83,native-country,Portugal,1.0,0.75,0.8571428571428571
84,native-country,Dominican-Republic,1.0,0.5,0.6666666666666666
85,native-country,El-Salvador,1.0,1.0,1.0
86,native-country,France,0.9230769230769231,1.0,0.9600000000000001
87,native-country,Guatemala,1.0,1.0,1.0
88,native-country,China,1.0,1.0,1.0
89,native-country,Japan,0.9565217391304348,0.9166666666666666,0.9361702127659574
90,native-country,Yugoslavia,1.0,0.8333333333333334,0.9090909090909091
91,native-country,Peru,1.0,1.0,1.0
92,native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
93,native-country,Scotland,1.0,1.0,1.0
94,native-country,Trinadad&Tobago,0.6666666666666666,1.0,0.8
95,native-country,Greece,0.8888888888888888,1.0,0.9411764705882353
96,native-country,Nicaragua,1.0,0.5,0.6666666666666666
97,native-country,Vietnam,1.0,0.8,0.888888888888889
98,native-country,Hong,0.8571428571428571,1.0,0.923076923076923
99,native-country,Ireland,1.0,0.8,0.888888888888889
100,native-country,Hungary,1.0,0.6666666666666666,0.8
101,native-country,Holand-Netherlands,1.0,1.0,1.0
